pairs	tag	auc
['Smarca5', 'Ifngr1']	1	0.815
['Dnmt3b', 'Hoxa9']	1	0.90055
['Msi2', 'Id1']	1	0.93045
['Batf', 'Smarca4']	-1	0.9446500000000001
['Bcl11a', 'Prkaca']	1	0.95585
['Lef1', 'Erg']	1	0.9638
['Tax1bp1', 'Gata2']	-1	0.97045
['Blnk', 'Gapdh']	1	0.9749
['Nudcd1', 'Bcl11a']	-1	0.9788
['Rag1', 'Rnf125']	1	0.9821
['Cd19', 'Sh2b3']	1	0.9847
['Gfi1', 'Mllt3']	-1	0.98675
['Egr1', 'Hoxa10']	1	0.98835
['Tnfrsf1a', 'Ccnd2']	-1	0.9900999999999999
['Etv6', 'Thbd']	-1	0.9918
['Ltb4r1', 'Csf2rb']	-1	0.993
['Gfi1', 'Creb1']	-1	0.9942
['Klf5', 'Cd19']	-1	0.99485
['Gapdh', 'Laptm5']	-1	0.9953
['Syncrip', 'Il7r']	-1	0.9956
['Pax5', 'Bcl2']	1	0.99585
['Ltb4r1', 'Cpa3']	-1	0.99605
['Gclm', 'Irf4']	-1	0.9962000000000001
['Cd19', 'Atf4']	1	0.9963500000000001
['Lmo2', 'Cebpb']	-1	0.9975
['Gfi1', 'Trim25']	-1	0.9978499999999999
['Il7r', 'Erg']	1	0.998
['Ebf1', 'Il12a']	1	0.99815
['Hoxa9', 'Prkca']	-1	0.99825
['Cd19', 'Ell']	1	0.99835
['Gfi1', 'Hells']	-1	0.9984500000000001
['Blnk', 'Sh2b3']	1	0.99855
['Ebf1', 'Ets2']	1	0.99865
['Lmo2', 'Tdg']	-1	0.9987499999999999
['Pax5', 'Mapk14']	1	0.9989
['Il7r', 'Xbp1']	1	0.9995
['Ifngr1', 'Twistnb']	-1	0.9996
['Gfi1', 'Pik3cd']	-1	0.99965
['Hoxa9', 'Rnf20']	-1	0.99965
['Hoxa9', 'Smyd2']	-1	0.99965
['Igf1r', 'Rag1']	-1	0.9996500000000001
['Hoxa9', 'Adora2b']	-1	0.9996500000000001
['Hoxa10', 'Il2ra']	-1	0.9996500000000001
['Ifngr1', 'Irf4']	-1	0.9996500000000001
['Myd88', 'Irf4']	-1	0.9996500000000001
['Tax1bp1', 'Irf4']	-1	0.9996500000000001
['Jmjd1c', 'Hoxa9']	1	0.9996500000000001
['Fli1', 'Irf4']	-1	0.9996500000000001
['Erg', 'Irf4']	-1	0.9996500000000001
['Ell', 'Il7r']	-1	0.9996500000000001
